ItemNumber,ItemName,PackSize,PalletCount,SupplierCode,LastUpdated
SKU-2472,Product-472,6,262,Supplier-7,2026-08-11
SKU-2473,Product-473,12,207,Supplier-8,2026-08-03
SKU-2474,Product-474,12,113,Supplier-4,2026-08-27
SKU-2475,Product-475,12,-10,Supplier-8,2026-08-28
SKU-2476,Product-476,6,115,,2026-08-11
SKU-2477,Product-477,24,495,Supplier-9,2026-08-18
SKU-2478,Product-478,6,288,Supplier-7,2026-08-25
SKU-2479,Product-479,6,167,Supplier-6,2026-08-23
SKU-2240,Product-480,6,478,Supplier-9,
SKU-2481,Product-481,6,260,Supplier-1,2026-08-26
SKU-2482,Product-482,24,74,Supplier-10,2026-08-26
SKU-2483,Product-483,12,365,Supplier-2,2026-08-08
SKU-2484,Product-484,6,327,Supplier-6,2026-08-18
SKU-2485,Product-485,6,282,Supplier-4,2026-08-14
SKU-2486,Product-486,6,345,Supplier-7,2026-08-27
SKU-2487,Product-487,6,404,Supplier-3,2026-08-13
SKU-2488,Product-488,24,297,Supplier-8,2026-08-02
SKU-2489,Product-489,12,490,Supplier-1,2026-08-27
SKU-2490,Product-490,6,440,,2026-08-22
SKU-2491,Product-491,12,274,Supplier-1,2026-08-21
SKU-2492,Product-492,12,121,Supplier-7,2026-08-25
SKU-2493,Product-493,6,94,Supplier-9,2026-08-23
SKU-2494,Product-494,12,356,Supplier-3,2026-08-03
SKU-2495,Product-495,24,401,Supplier-5,2026-08-17
SKU-2496,Product-496,24,317,Supplier-4,2026-08-04
SKU-2497,Product-497,24,97,Supplier-9,2026-08-28
SKU-2498,Product-498,12,448,Supplier-9,2026-08-22
SKU-2499,Product-499,24,7,Supplier-3,2026-08-24
SKU-2500,Product-500,24,-28,Supplier-7,2026-08-12
SKU-2501,Product-501,6,343,Supplier-5,2026-08-07
SKU-2502,Product-502,24,130,Supplier-10,2026-08-18
SKU-2503,Product-503,6,138,Supplier-3,2026-08-06
SKU-2504,Product-504,24,44,,2026-08-08
SKU-2505,Product-505,24,47,Supplier-10,2026-08-08
SKU-2506,Product-506,6,434,Supplier-5,2026-08-12
SKU-2507,Product-507,6,199,Supplier-8,2026-08-09
SKU-2508,Product-508,12,300,Supplier-9,2026-08-14
SKU-2509,Product-509,12,454,Supplier-3,2026-08-19
SKU-2510,Product-510,24,85,Supplier-2,2026-08-22
SKU-2511,Product-511,6,399,Supplier-1,2026-08-10
SKU-2512,Product-512,6,335,Supplier-2,2026-08-18
SKU-2513,Product-513,12,439,Supplier-9,2026-08-04
SKU-2514,Product-514,6,276,Supplier-3,2026-08-27
SKU-2515,Product-515,12,205,Supplier-8,2026-08-18
SKU-2516,Product-516,6,76,Supplier-3,2026-08-15
SKU-2517,Product-517,12,492,Supplier-1,2026-08-22
SKU-2518,Product-518,12,200,,2026-08-20
SKU-2519,Product-519,12,293,Supplier-9,2026-08-22
